Year,Passengers,Passenger_km,Available_Seats,Available_Seat_km,Load_Factor,Aircraft_Trips
2015,57493409,67850265955,76830358,88667810678,76.5,634593
2016,58927736,69331713387,77295872,89064056188,77.8,638798
2017,59978857,70011993138,77149391,88196263377,79.4,638700
2018,61081795,71258688468,77335230,88444974243,80.6,629540
2019,61357502,71481360383,77693076,88513532440,80.8,636030
2020,19444837,22299001404,29140361,32858065197,67.9,282576
2021,23519123,27299701072,39171046,44933875426,60.8,367190
2022,50186342,59154539192,65623840,75040795599,78.8,558124
2023,57273525,68415604721,73182796,85013697102,80.5,612234
2024,59292768,71007191185,74516519,87072101113,81.5,614803
