city_pair,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Melbourne - Sydney,8037070,7624605,6576181,2119779,2249844,9181932,9097110,9240010,8904672,8613421
Brisbane - Sydney,4358325,4250632,3594275,1093231,1299668,4821044,4746256,4825478,4658129,4475930
Brisbane - Melbourne,3499263,3311847,2806475,787439,928760,3608681,3541071,3569361,3493317,3353756
Gold Coast - Sydney,2538036,2436619,2298514,755199,711286,2733109,2740745,2722796,2704358,2618482
Adelaide - Melbourne,2331114,2283969,1964681,640972,614056,2538061,2456426,2498204,2393883,2310950
Melbourne - Gold Coast,2187900,2219657,2291655,794734,514256,2122157,2012590,2060760,1966147,1812278
Melbourne - Perth,2030577,1915808,1347836,261442,552171,2110125,2033242,2113233,2072911,2138861
Adelaide - Sydney,1883796,1743231,1410615,524704,589414,1878741,1898268,1906655,1871990,1831458
Perth - Sydney,1639356,1586826,1118846,313738,437706,1692031,1716477,1716911,1753695,1761024
Hobart - Melbourne,1373110,1294759,1086407,459276,466396,1670181,1630259,1652803,1555536,1493327
Brisbane - Cairns,1305477,1243795,1136610,1012528,728769,1292703,1377900,1320132,1346922,1306425
Brisbane - Perth,1090947,1009404,737276,287162,301629,960632,969064,956828,984102,1007842
Canberra - Melbourne,1009351,997380,850020,280728,275300,1184774,1132954,1175529,1026093,984162
Cairns - Sydney,919237,919237,822596,249780,249117,1078060,1129324,1132679,1115255,1032841
Adelaide - Brisbane,875326,819184,713245,451446,362420,875306,849643,846516,830335,792810
Cairns - Melbourne,824781,810973,815131,312737,161840,855876,841314,854481,823392,770578
Adelaide - Perth,697766,654135,485910,318622,167524,656834,614141,635120,617103,610983
Canberra - Sydney,639541,602561,536547,166538,0,931350,949178,952995,959385,947140
Brisbane - Hobart,307032,293845,291200,257544,107964,241400,212708,228985,205776,198186
Darwin - Perth,182512,171166,149938,0,0,174179,198365,194308,184405,184619
Adelaide - Gold Coast,279844,260224,223256,143162,86284,215156,214185,220500,221536,219360
Adelaide - Canberra,186144,193410,154002,87186,68812,195443,181576,195185,174046,169998
Canberra - Gold Coast,182538,175800,144345,0,0,0,0,0,0,0
Brisbane - Darwin,327251,321468,328808,260460,164190,354814,406183,376462,407688,396204
Brisbane - Canberra,638259,630425,593364,292693,249059,660113,594258,643328,576133,558235
Darwin - Melbourne,289261,283362,304337,121752,0,310944,306327,307293,300951,279461
Hobart - Sydney,804765,804765,649771,256542,236463,728897,655850,705622,616602,546342
