Airport,Year,Passengers
Adelaide,2015,7671169
Adelaide,2016,7920173
Adelaide,2017,8111934
Adelaide,2018,8346303
Adelaide,2019,8516171
Adelaide,2020,2589413
Adelaide,2021,3066795
Adelaide,2022,6416836
Adelaide,2023,7997486
Adelaide,2024,8351636
Brisbane,2015,22025496
Brisbane,2016,22505596
Brisbane,2017,22949267
Brisbane,2018,23466763
Brisbane,2019,24005706
Brisbane,2020,7775088
Brisbane,2021,7906653
Brisbane,2022,16903780
Brisbane,2023,21188565
Brisbane,2024,23253321
Cairns,2015,4521042
Cairns,2016,4850514
Cairns,2017,4940484
Cairns,2018,4945798
Cairns,2019,4778181
Cairns,2020,1706515
Cairns,2021,2314679
Cairns,2022,3807889
Cairns,2023,4458783
Cairns,2024,4696090
Canberra,2015,2805306
Canberra,2016,2909564
Canberra,2017,3105775
Canberra,2018,3248065
Canberra,2019,3238112
Canberra,2020,908990
Canberra,2021,1024019
Canberra,2022,2437607
Canberra,2023,2769430
Canberra,2024,2833119
Darwin,2015,2062046
Darwin,2016,2099773
Darwin,2017,2104408
Darwin,2018,2003832
Darwin,2019,1983490
Darwin,2020,702406
Darwin,2021,1075094
Darwin,2022,1673129
Darwin,2023,1769187
Darwin,2024,1817809
Gold Coast,2015,6024358
Gold Coast,2016,6411315
Gold Coast,2017,6479083
Gold Coast,2018,6486382
Gold Coast,2019,6484603
Gold Coast,2020,1722216
Gold Coast,2021,2083056
Gold Coast,2022,5708687
Gold Coast,2023,6230170
Gold Coast,2024,6206216
Hobart,2015,2238432
Hobart,2016,2378137
Hobart,2017,2510343
Hobart,2018,2676628
Hobart,2019,2781739
Hobart,2020,879663
Hobart,2021,1265769
Hobart,2022,2303538
Hobart,2023,2611429
Hobart,2024,2749578
Melbourne,2015,32790213
Melbourne,2016,34375189
Melbourne,2017,35559520
Melbourne,2018,36916629
Melbourne,2019,37134291
Melbourne,2020,8897392
Melbourne,2021,7160276
Melbourne,2022,25717358
Melbourne,2023,33232562
Melbourne,2024,35520012
Perth,2015,12594365
Perth,2016,12504661
Perth,2017,12370532
Perth,2018,12477719
Perth,2019,12513516
Perth,2020,3926078
Perth,2021,3944789
Perth,2022,8410203
Perth,2023,12164496
Perth,2024,13582297
Sydney,2015,39808847
Sydney,2016,42017921
Sydney,2017,43330060
Sydney,2018,44429758
Sydney,2019,44428845
Sydney,2020,11227692
Sydney,2021,7901288
Sydney,2022,29056221
Sydney,2023,38717773
Sydney,2024,41460533
